Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
3.142857143,Cardelina canadensis,24.64285714,Flock,Male,Jerico,38,,12:00,14,22,3.142857143
3.093023256,Cardelina canadensis,30,Flock,Female,Jerico,37,,9:00,5,6,3.093023256
2.111111111,Cardelina canadensis,37.77777778,Flock,Male,Tamesis,25,50,14:00,23,30,2.111111111
0.78556701,Cardelina canadensis,24.12371134,Solitary,Male,Fredonia,11,,17:00,1,1,
0.680327869,Cardelina canadensis,47.21311475,Solitary,Male,Tamesis,27,0,12:00,1,1,
0.5,Cardelina canadensis,27.45762712,Solitary,Male,Jerico,10,30,10:00,1,2,
0,Cardelina canadensis,2.647058824,Solitary,Male,Jerico,36,30,17:00,1,2,
0,Cardelina canadensis,14.4,Solitary,Male,Fredonia,11,,17:00,1,1,
0,Cardelina canadensis,18.46153846,Solitary,Male,Jerico,38,,15:00,1,1,
0.7,Cardelina canadensis,27.42857143,Solitary,Female,Otros,40,30,10:00,1,1,
0,Cardelina canadensis,29.6969697,Solitary,Female,Otros,39,40,11:00,1,1,
0,Cardelina canadensis,28.88888889,Solitary,Female,Otros,40,40,11:00,1,1,
0,Cardelina canadensis,36,Solitary,Male,Fredonia,12,50,7:00,1,1,
0,Cardelina canadensis,39.06976744,Solitary,Male,Otros,33,50,9:00,1,1,
0.630327869,Cardelina canadensis,47.21311475,Solitary,Male,Tamesis,26,0,12:00,1,1,
1,Cardelina canadensis,24.12371134,Solitary,Male,Fredonia,14,,17:00,1,1,
0.8,Cardelina canadensis,24.12371134,Solitary,Male,Fredonia,13,,17:00,1,1,
0,Cardelina canadensis,28.88888889,Solitary,Female,Otros,39,40,11:00,1,1,
0,Cardelina canadensis,27.45762712,Solitary,Male,Jerico,9,30,10:00,1,2,
0,Cardelina canadensis,2.647058824,Solitary,Male,Jerico,35,30,17:00,1,2,
0,Cardelina canadensis,14.4,Solitary,Male,Fredonia,12,,17:00,1,1,
0,Cardelina canadensis,18.46153846,Solitary,Male,Jerico,37,,15:00,1,1,
0,Cardelina canadensis,27.42857143,Solitary,Female,Otros,39,30,10:00,1,1,
0,Cardelina canadensis,29.6969697,Solitary,Female,Otros,39,40,11:00,1,1,
0,Cardelina canadensis,28.88888889,Solitary,Female,Otros,39,40,11:00,1,1,
0,Cardelina canadensis,36,Solitary,Male,Fredonia,12,50,7:00,1,1,
0,Cardelina canadensis,39.06976744,Solitary,Male,Otros,33,50,9:00,1,1,
0.618556701,Cardelina canadensis,24.12371134,Solitary,Male,Fredonia,12,,17:00,1,1,
0.580327869,Cardelina canadensis,47.21311475,Solitary,Male,Tamesis,26,0,12:00,1,1,
18.57142857,Setophaga cerulea,16.66666667,Flock,Male,Tamesis,23,50,9:00,14,23,18.57142857
18.23529412,Setophaga cerulea,21.17647059,Flock,Male,Tamesis,23,50,9:00,14,23,18.23529412
16.09756098,Setophaga cerulea,14.63414634,Flock,Male,Fredonia,17,,16:00,8,13,16.09756098
14.375,Setophaga cerulea,43.125,Flock,Male,Fredonia,11,0,10:00,15,21,14.375
12.96398892,Setophaga cerulea,19.44598338,Flock,Male,Fredonia,17,0,13:00,10,18,12.96398892
12,Setophaga cerulea,28,Flock,Male,Fredonia,21,100,16:00,27,43,12
9.230769231,Setophaga cerulea,23.07692308,Flock,Male,Fredonia,17,0,16:00,8,13,9.230769231
8.910891089,Setophaga cerulea,17.67326733,Flock,Male,Fredonia,16,0,15:00,4,5,8.910891089
9,Setophaga cerulea,28.52459016,Flock,Male,Tamesis,28,60,10:00,32,55,8.852459016
8,Setophaga cerulea,19.2,Flock,Female,Fredonia,17,0,9:00,15,33,7.2
7.111111111,Setophaga cerulea,21.33333333,Flock,Male,Tamesis,24,50,14:00,21,31,7.111111111
