species,foragingrate,movementrate,sociality,gender,locality,dayofseason,time,flocksizespecies,flocksizeind,foragingrate,movementrate,foragingrate_cont,movementrate_cont
Setophaga fusca,1,26,Flock,Female,Jerico,6,8:00,21,30,1,26,1,26.47055294
Setophaga fusca,4,22,Solitary,Male,Jerico,7,15:00,1,2,4,22,4,22.23529412
Setophaga fusca,2,28,Solitary,Male,Fredonia,10,13:00,1,1,2,28,2.12,27.714
Setophaga fusca,2,23,Solitary,Male,Fredonia,11,13:00,1,1,2,23,1.8925,23.35211268
Setophaga fusca,1,28,Solitary,Female,Tamesis,26,16:00,1,1,1,28,1.354,27.6
Setophaga fusca,1,36,Solitary,Female,Otros,35,10:00,1,1,1,36,1.183606557,36.44262295
Setophaga fusca,3,25,Solitary,Male,Tamesis,29,16:00,1,1,3,25,3.23454,24.625
Setophaga fusca,2,32,Solitary,Male,Jerico,8,11:00,1,2,2,32,1.912244898,31.755116
Setophaga fusca,0,26,Solitary,Male,Fredonia,11,6:00,1,1,0,26,0,25.56732
Setophaga fusca,2,28,Solitary,Female,Jerico,9,16:00,1,2,2,28,2,27.568721
Setophaga fusca,3,28,Solitary,Female,Jerico,9,16:00,1,2,3,28,3,27.568721
Setophaga fusca,2,28,Solitary,Female,Jerico,9,16:00,1,2,2,28,1.6,27.568721
Cardelina canadensis,12,18,Flock,Male,Tamesis,31,13:00,20,26,12,18,12.35294118,17.64705882
Cardelina canadensis,12,18,Flock,Female,Fredonia,10,11:00,14,21,12,18,11.57894737,17.89473684
Cardelina canadensis,8,20,Flock,Male,Jerico,7,12:00,11,22,8,20,8,20
Cardelina canadensis,6,28,Flock,Female,Jerico,7,8:00,21,30,6,28,6.206896552,27.93103448
Cardelina canadensis,5,14,Flock,Female,Fredonia,11,10:00,15,20,5,14,4.615384615,13.84615385
Cardelina canadensis,4,29,Flock,Male,Jerico,38,9:00,7,8,4,29,3.947368421,28.94736842
Cardelina canadensis,4,40,Flock,Female,Tamesis,28,11:00,32,55,4,40,3.703703704,40
Cardelina canadensis,3,25,Flock,Male,Fredonia,10,11:00,14,21,3,25,3.333333333,25
Cardelina canadensis,3,28,Flock,Male,Tamesis,28,10:00,9,15,3,28,3.333333333,28.33333333
Cardelina canadensis,3,28,Flock,Male,Fredonia,14,7:00,4,6,3,28,3.333333333,27.77777778
Cardelina canadensis,3,27,Flock,Female,Jerico,5,8:00,14,18,3,27,3.20855615,26.63101604
Cardelina canadensis,3,16,Flock,Male,Jerico,3,12:00,4,4,3,16,3.157894737,16.31578947
Cardelina canadensis,3,25,Flock,Male,Fredonia,13,8:00,27,37,3,25,3.076923077,25.38461538
Cardelina canadensis,3,21,Flock,Female,Jerico,37,16:00,5,5,3,21,3,21
Cardelina canadensis,3,18,Flock,Male,Fredonia,15,8:00,13,19,3,18,2.647058824,17.64705882
Cardelina canadensis,3,17,Flock,Female,Jerico,5,8:00,14,18,3,17,2.608695652,16.63043478
Cardelina canadensis,3,30,Flock,Male,Otros,39,11:00,3,3,3,30,2.5,30.3125
Cardelina canadensis,2,25,Flock,Male,Jerico,37,12:00,13,21,2,25,2.142857143,24.64285714
Cardelina canadensis,2,30,Flock,Female,Jerico,37,9:00,5,6,2,30,2.093023256,30
Cardelina canadensis,1,38,Flock,Male,Tamesis,24,14:00,22,31,1,38,1.111111111,37.77777778
Cardelina canadensis,1,17,Flock,Female,Jerico,2,10:00,7,7,1,17,0.52173913,16.69565217
Cardelina canadensis,0,29,Flock,Male,Jerico,6,11:00,30,36,0,29,0,29.18918919
Cardelina canadensis,11,18,Flock,Male,Tamesis,32,13:00,21,27,11,18,11.29,17.64705882
Cardelina canadensis,11,18,Flock,Female,Fredonia,11,11:00,15,22,11,18,10.89,17.89473684
Cardelina canadensis,7,20,Flock,Male,Jerico,8,12:00,12,23,7,20,7,20
Cardelina canadensis,5,28,Flock,Female,Jerico,8,8:00,22,31,5,28,5.2,27.93103448
Cardelina canadensis,4,14,Flock,Female,Fredonia,12,10:00,16,21,4,14,3.53,13.84615385
Cardelina canadensis,3,29,Flock,Male,Jerico,39,9:00,8,9,3,29,2.73,28.94736842
Cardelina canadensis,3,40,Flock,Female,Tamesis,29,11:00,33,54,3,40,2.7003,40
Cardelina canadensis,2,25,Flock,Female,Fredonia,11,11:00,15,22,2,25,2.33,25
Cardelina canadensis,2,28,Flock,Male,Tamesis,19,10:00,10,18,2,28,2.33,28.33333333
Cardelina canadensis,2,28,Flock,Male,Fredonia,15,7:00,5,7,2,28,2.33,27.77777778
Cardelina canadensis,2,27,Flock,Female,Jerico,6,8:00,13,19,2,27,2.2,26.63101604
Cardelina canadensis,2,16,Flock,Male,Jerico,4,12:00,4,5,2,16,2.15,16.31578947
Cardelina canadensis,3,25,Flock,Male,Fredonia,14,8:00,26,37,3,25,2.69,25.38461538
Cardelina canadensis,4,21,Flock,Female,Jerico,38,16:00,4,5,4,21,4,21
Cardelina canadensis,3,18,Flock,Male,Fredonia,16,8:00,12,18,3,18,2.705882353,17.64705882
Cardelina canadensis,4,17,Flock,Female,Jerico,6,8:00,13,19,4,17,3.608695652,16.63043478
Cardelina canadensis,4,30,Flock,Male,Otros,40,11:00,4,3,4,30,3.5,30.3125
Cardelina canadensis,3,25,Flock,Male,Jerico,38,12:00,14,22,3,25,3.142857143,24.64285714
Cardelina canadensis,3,30,Flock,Female,Jerico,37,9:00,5,6,3,30,3.093023256,30
Cardelina canadensis,2,38,Flock,Male,Tamesis,25,14:00,23,30,2,38,2.111111111,37.77777778
Cardelina canadensis,1,24,Solitary,Male,Fredonia,11,17:00,1,1,1,24,0.78556701,24.12371134
Cardelina canadensis,1,47,Solitary,Male,Tamesis,27,12:00,1,1,1,47,0.680327869,47.21311475
Cardelina canadensis,1,27,Solitary,Male,Jerico,10,10:00,1,2,1,27,0.5,27.45762712
Cardelina canadensis,0,3,Solitary,Male,Jerico,36,17:00,1,2,0,3,0,2.647058824
Cardelina canadensis,0,14,Solitary,Male,Fredonia,11,17:00,1,1,0,14,0,14.4
Cardelina canadensis,0,18,Solitary,Male,Jerico,38,15:00,1,1,0,18,0,18.46153846
Cardelina canadensis,1,27,Solitary,Female,Otros,40,10:00,1,1,1,27,0.7,27.42857143
Cardelina canadensis,0,30,Solitary,Female,Otros,39,11:00,1,1,0,30,0,29.6969697
Cardelina canadensis,0,29,Solitary,Female,Otros,40,11:00,1,1,0,29,0,28.88888889
Cardelina canadensis,0,36,Solitary,Male,Fredonia,12,7:00,1,1,0,36,0,36
Cardelina canadensis,0,39,Solitary,Male,Otros,33,9:00,1,1,0,39,0,39.06976744
Cardelina canadensis,1,47,Solitary,Male,Tamesis,26,12:00,1,1,1,47,0.630327869,47.21311475
Cardelina canadensis,1,24,Solitary,Male,Fredonia,14,17:00,1,1,1,24,1,24.12371134
Cardelina canadensis,1,24,Solitary,Male,Fredonia,13,17:00,1,1,1,24,0.8,24.12371134
Cardelina canadensis,0,29,Solitary,Female,Otros,39,11:00,1,1,0,29,0,28.88888889
Cardelina canadensis,0,27,Solitary,Male,Jerico,9,10:00,1,2,0,27,0,27.45762712
Cardelina canadensis,0,3,Solitary,Male,Jerico,35,17:00,1,2,0,3,0,2.647058824
Cardelina canadensis,0,14,Solitary,Male,Fredonia,12,17:00,1,1,0,14,0,14.4
Cardelina canadensis,0,18,Solitary,Male,Jerico,37,15:00,1,1,0,18,0,18.46153846
Cardelina canadensis,0,27,Solitary,Female,Otros,39,10:00,1,1,0,27,0,27.42857143
Cardelina canadensis,0,30,Solitary,Female,Otros,39,11:00,1,1,0,30,0,29.6969697
Cardelina canadensis,0,29,Solitary,Female,Otros,39,11:00,1,1,0,29,0,28.88888889
Cardelina canadensis,0,36,Solitary,Male,Fredonia,12,7:00,1,1,0,36,0,36
Cardelina canadensis,0,39,Solitary,Male,Otros,33,9:00,1,1,0,39,0,39.06976744
Cardelina canadensis,1,24,Solitary,Male,Fredonia,12,17:00,1,1,1,24,0.618556701,24.12371134
Cardelina canadensis,1,47,Solitary,Male,Tamesis,26,12:00,1,1,1,47,0.580327869,47.21311475
Setophaga cerulea,19,17,Flock,Male,Tamesis,23,9:00,14,23,19,17,18.57142857,16.66666667
Setophaga cerulea,18,21,Flock,Male,Tamesis,23,9:00,14,23,18,21,18.23529412,21.17647059
Setophaga cerulea,16,15,Flock,Male,Fredonia,17,16:00,8,13,16,15,16.09756098,14.63414634
Setophaga cerulea,14,43,Flock,Male,Fredonia,11,10:00,15,21,14,43,14.375,43.125
Setophaga cerulea,13,19,Flock,Male,Fredonia,17,13:00,10,18,13,19,12.96398892,19.44598338
Setophaga cerulea,12,28,Flock,Male,Fredonia,21,16:00,27,43,12,28,12,28
Setophaga cerulea,9,23,Flock,Male,Fredonia,17,16:00,8,13,9,23,9.230769231,23.07692308
Setophaga cerulea,9,18,Flock,Male,Fredonia,16,15:00,4,5,9,18,8.910891089,17.67326733
Setophaga cerulea,9,29,Flock,Male,Tamesis,28,10:00,32,55,9,29,9,28.52459016
Setophaga cerulea,8,19,Flock,Female,Fredonia,17,9:00,15,33,8,19,8,19.2
Setophaga cerulea,7,21,Flock,Male,Tamesis,24,14:00,21,31,7,21,7.111111111,21.33333333
Setophaga cerulea,7,16,Flock,Male,Tamesis,28,10:00,32,55,7,16,7.2,16.06299213
Setophaga cerulea,7,39,Flock,Female,Fredonia,21,16:00,27,43,7,39,7.058823529,38.82352941
Setophaga cerulea,7,14,Flock,Female,Fredonia,20,7:00,,,7,14,6.976744186,13.95348837
Setophaga cerulea,7,24,Flock,Male,Jerico,6,9:00,30,36,7,24,6.774193548,24.19354839
Setophaga cerulea,7,20,Flock,Male,Fredonia,19,10:00,15,29,7,20,6.666666667,20
Setophaga cerulea,7,34,Flock,Female,Tamesis,24,14:00,21,31,7,34,7,34.05405405
Setophaga cerulea,6,15,Flock,Male,Tamesis,24,13:00,21,31,6,15,6.44295302,15.30201342
Setophaga cerulea,6,30,Flock,Female,Tamesis,25,9:00,15,25,6,30,6.206896552,30
Setophaga cerulea,6,29,Flock,Male,Fredonia,21,16:00,9,12,6,29,6.206896552,28.96551724
Setophaga cerulea,7,27,Flock,Male,Tamesis,28,17:00,33,53,7,27,7,26.89655172
Setophaga cerulea,6,22,Flock,Male,Fredonia,17,13:00,10,18,6,22,5.874125874,21.81818182
Setophaga cerulea,6,24,Flock,Female,Jerico,3,12:00,4,4,6,24,5.78313253,23.85542169
Setophaga cerulea,6,26,Flock,Male,Tamesis,13,9:00,12,20,6,26,5.714285714,25.71428571
Setophaga cerulea,5,26,Flock,Male,Tamesis,31,8:00,27,38,5,26,5.294117647,26.47058824
Setophaga cerulea,5,30,Flock,Male,Fredonia,18,9:00,18,30,5,30,4.95412844,29.72477064
Setophaga cerulea,5,22,Flock,Male,Jerico,3,11:00,,,5,22,4.931506849,22.19178082
Setophaga cerulea,5,29,Flock,Male,Tamesis,28,16:00,33,53,5,29,4.914675768,28.66894198
