,species,foragingRate,movementRate,sociality,gender,locality,dayofseason,flocksizespecies,flocksizeind,indspecies,capture,second,minutes,capture,movement,foragingRate
e,Hemithraupis guira,1.6,14.4,Flock,Male,Fredonia,8,8,9,1,2,75,1.25,2,,1.6
e,Hemithraupis guira,1.374045802,14.65648855,Flock,Male,Fredonia,25,10,15,3,3,131,2.183333333,3,,1.374045802
e,Hemithraupis guira,1.224489796,14.69387755,Flock,Female,Jerico,4,,,1,1,49,0.816666667,1,,1.224489796
e,Hemithraupis guira,1.224489796,21.42857143,Flock,Male,Fredonia,26,25,35,3,2,98,1.633333333,2,,1.224489796
e,Hemithraupis guira,1.224489796,24.08163265,Flock,Female,Fredonia,25,13,24,3,1,147,2.45,1,,1.224489796
e,Hemithraupis guira,1.132075472,19.24528302,Flock,Male,Fredonia,27,15,22,4,1,53,0.883333333,1,,1.132075472
e,Hemithraupis guira,0.759493671,18.98734177,Flock,Male,tamesis,30,24,23,4,1,79,1.316666667,1,,0.759493671
e,Hemithraupis guira,0.582524272,16.31067961,Flock,Male,Jerico,1,21,23,1,1,103,1.716666667,1,,0.582524272
e,Hemithraupis guira,0,12,Flock,Male,Fredonia,9,6,9,1,0,40,0.666666667,0,,0
e,Hemithraupis guira,0,12,Flock,Male,Fredonia,8,14,21,1,0,20,0.333333333,0,,0
e,Hemithraupis guira,0,12,Flock,Male,Fredonia,9,11,12,1,0,20,0.333333333,0,,0
e,Hemithraupis guira,0,24,Flock,Female,Jerico,33,14,18,1,0,15,0.25,0,,0
e,Hemithraupis guira,0,39.41176471,Solitary,,Jardin,53,1,1,2,0,102,1.7,0,,0
f,Oreothlypis peregrina,29.5,11,Flock,NA,fredonia,27,25,35,3,59,120,2,59,,29.5
f,Oreothlypis peregrina,21.3559322,9.152542373,Flock,NA,Tamesis,38,27,38,3,42,118,1.966666667,42,,21.3559322
f,Oreothlypis peregrina,21.33333333,15.33333333,Flock,NA,Tamesis,38,27,38,3,32,90,1.5,32,,21.33333333
f,Oreothlypis peregrina,20,12,Flock,NA,Fredonia,23,4,5,2,10,30,0.5,10,,20
f,Oreothlypis peregrina,19.43661972,11.83098592,Flock,NA,Fredonia,25,10,15,4,23,71,1.183333333,23,,19.43661972
f,Oreothlypis peregrina,14.54545455,3.636363636,Flock,NA,Fredonia,25,13,24,6,8,33,0.55,8,,14.54545455
f,Oreothlypis peregrina,14.11764706,15,Flock,NA,Tamesis,36,32,55,6,16,68,1.133333333,16,,14.11764706
f,Oreothlypis peregrina,13.77777778,20,Flock,NA,Fredonia,12,4,5,1,31,135,2.25,31,,13.77777778
f,Oreothlypis peregrina,13.7704918,23.60655738,Flock,NA,Tamesis,79,16,21,1,28,122,2.033333333,28,,13.7704918
f,Oreothlypis peregrina,12.61146497,19.10828025,Flock,NA,Fredonia,25,18,30,5,33,157,2.616666667,33,,12.61146497
f,Oreothlypis peregrina,12,16,Flock,NA,Fredonia,12,4,4,1,3,15,0.25,3,,12
f,Oreothlypis peregrina,10.83333333,28.33333333,Flock,NA,Fredonia,26,25,35,3,13,72,1.2,13,,10.83333333
f,Oreothlypis peregrina,9.473684211,18.94736842,Flock,NA,Fredonia,12,17,27,3,3,19,0.316666667,3,,9.473684211
f,Oreothlypis peregrina,8.888888889,13.33333333,Flock,NA,Jerico,1,13,14,1,4,27,0.45,4,,8.888888889
f,Oreothlypis peregrina,7.5,9,Flock,NA,Tamesis,38,9,15,1,5,40,0.666666667,5,,7.5
f,Oreothlypis peregrina,7.5,27.5,Flock,NA,Fredonia,24,15,33,5,11,88,1.466666667,11,,7.5
f,Oreothlypis peregrina,7.5,19.77272727,Flock,NA,Fredonia,24,15,33,5,3,24,0.4,3,,7.5
f,Oreothlypis peregrina,6.923076923,27.69230769,Flock,NA,Tamesis,30,14,23,2,3,26,0.433333333,3,,6.923076923
f,Oreothlypis peregrina,6.666666667,15,Flock,NA,Fredonia,10,10,15,3,4,36,0.6,4,,6.666666667
f,Oreothlypis peregrina,6.371681416,20.7079646,Flock,NA,Tamesis,30,14,23,2,12,113,1.883333333,12,,6.371681416
f,Oreothlypis peregrina,6,27,Flock,NA,Tamesis,36,32,55,6,2,20,0.333333333,2,,6
f,Oreothlypis peregrina,5.853658537,38.04878049,Flock,NA,Tamesis,34,14,20,1,4,41,0.683333333,4,,5.853658537
f,Oreothlypis peregrina,5.714285714,28.57142857,Flock,NA,Fredonia,25,10,15,4,10,105,1.75,10,,5.714285714
f,Oreothlypis peregrina,4.363636364,22.90909091,Flock,NA,Jerico,4,30,36,1,4,55,0.916666667,4,,4.363636364
f,Oreothlypis peregrina,4.077669903,16.89320388,Flock,NA,Fredonia,12,4,5,1,7,103,1.716666667,7,,4.077669903
f,Oreothlypis peregrina,4.06779661,30.50847458,Flock,NA,Tamesis,36,15,27,1,4,59,0.983333333,4,,4.06779661
f,Oreothlypis peregrina,3.913043478,19.56521739,Flock,NA,Fredonia,9,8,10,2,3,46,0.766666667,3,,3.913043478
f,Oreothlypis peregrina,3.826086957,19.82608696,Flock,NA,Jerico,1,9,,1,22,345,5.75,22,,3.826086957
f,Oreothlypis peregrina,3.797468354,15.94936709,Flock,NA,Jerico,3,10,14,2,5,79,1.316666667,5,,3.797468354
f,Oreothlypis peregrina,3.75,11.25,Flock,NA,Fredonia,9,8,10,2,1,16,0.266666667,1,,3.75
f,Oreothlypis peregrina,3.38028169,31.26760563,Flock,NA,Tamesis,31,9,19,3,4,71,1.183333333,4,,3.38028169
f,Oreothlypis peregrina,2.950819672,20.6557377,Flock,NA,Fredonia,12,4,5,1,3,61,1.016666667,3,,2.950819672
f,Oreothlypis peregrina,2.76746988,29.63855422,Solitary,NA,Tamesis,66,1,1,,24,594,9.9,24,,2.76746988
f,Oreothlypis peregrina,2.6,,Solitary,NA,Fredonia,2,1,1,1,6,166,2.766666667,6,,2.6
f,Oreothlypis peregrina,2.424242424,22.42424242,Solitary,NA,Jerico,5,1,1,2,2,61,1.016666667,2,,2.424242424
f,Oreothlypis peregrina,2.3,22.42424242,Solitary,NA,Jerico,11,1,1,3,3,98,1.633333333,3,,2.3
f,Oreothlypis peregrina,2.242424242,22.42424242,Solitary,NA,Jerico,1,1,1,2,2,82,1.366666667,2,,2.242424242
f,Oreothlypis peregrina,2.168674699,29.63855422,Solitary,NA,Tamesis,6,1,1,2,2,124,2.066666667,2,,2.168674699
f,Oreothlypis peregrina,2.1,22.42424242,Solitary,NA,Jerico,3,1,1,2,0,74,1.233333333,0,,2.1
f,Oreothlypis peregrina,2,29.63855422,Solitary,NA,Tamesis,11,1,1,,0,52,0.866666667,0,,2
f,Oreothlypis peregrina,1.967213115,23.60655738,Flock,NA,Jerico,6,11,22,,3,92,1.533333333,3,,1.967213115
f,Oreothlypis peregrina,1.9,29.63855422,Solitary,NA,Tamesis,11,1,1,,2,64,1.066666667,2,,1.9
f,Oreothlypis peregrina,1.836734694,15.91836735,Flock,NA,Fredonia,11,10,15,,2,66,1.1,2,,1.836734694
f,Oreothlypis peregrina,1.5,21.95121951,Solitary,NA,Fredonia,24,1,1,,1,40,0.666666667,1,,1.5
f,Oreothlypis peregrina,1.463414634,21.95121951,Solitary,NA,Fredonia,24,1,1,,1,41,0.683333333,1,,1.463414634
f,Oreothlypis peregrina,1.4,21.95121951,Solitary,NA,Fredonia,24,1,1,,2,87,1.45,2,,1.4
f,Oreothlypis peregrina,1.341463415,21.95121951,Solitary,NA,Fredonia,24,1,1,,2,64,1.066666667,2,,1.341463415
f,Oreothlypis peregrina,0.967741935,18.87096774,Flock,NA,Jerico,7,15,27,,1.999999999,124,2.066666667,1.999999999,,0.967741935
f,Oreothlypis peregrina,0,18.46153846,Solitary,NA,Fredonia,11,1,1,,0,68,1.133333333,0,,0
f,Oreothlypis peregrina,0,18.46153846,Solitary,NA,Fredonia,11,1,1,,0,49,0.816666667,0,,0
f,Oreothlypis peregrina,0,18.46153846,Solitary,NA,Fredonia,11,1,1,,0,114,1.9,0,,0
f,Oreothlypis peregrina,0,18.46153846,Solitary,NA,Fredonia,11,1,1,,0,81,1.35,0,,0
f,Oreothlypis peregrina,0,22.7027027,Solitary,NA,Jerico,3,1,1,2,0,91,1.516666667,0,,0
f,Oreothlypis peregrina,0,22.7027027,Solitary,NA,Jerico,3,1,1,2,0,55,0.916666667,0,,0
f,Oreothlypis peregrina,0,22.7027027,Solitary,NA,Jerico,3,1,1,2,0,82,1.366666667,0,,0
,Parula pitiayumi,24,22,Flock,NA,Tamesis,31,14,23,2,12,30,0.5,12,,24
,Parula pitiayumi,10.3030303,20,Flock,NA,Jerico,8,22,37,1,16,99,1.65,16,,10.3030303
,Parula pitiayumi,8.275862069,35.17241379,Flock,NA,Tamesis,37,33,53,1,4,29,0.483333333,4,,8.275862069
,Parula pitiayumi,8.13559322,24.40677966,Flock,NA,Otros,55,4,4,1,7,59,0.983333333,7,,8.13559322
,Parula pitiayumi,6.153846154,26.15384615,Flock,NA,Tamesis,32,26,37,2,4,39,0.65,4,,6.153846154
,Parula pitiayumi,5.454545455,25.90909091,Flock,NA,Fredonia,27,13,18,2,4,44,0.733333333,4,,5.454545455
,Parula pitiayumi,4.875,27.375,Flock,NA,Fredonia,12,7,8,1,13,160,2.666666667,13,,4.875
,Parula pitiayumi,4.444444444,37.77777778,Flock,NA,Fredonia,27,13,18,1,4,54,0.9,4,,4.444444444
,Parula pitiayumi,4.225352113,33.8028169,Flock,NA,Otros,80,13,18,1,5,71,1.183333333,5,,4.225352113
,Parula pitiayumi,3.622641509,30,Solitary,NA,Jerico,4,1,1,,3,50,0.833333333,3,,3.622641509
,Parula pitiayumi,3.529411765,25.88235294,Flock,NA,Tamesis,31,11,19,,3,51,0.85,3,,3.529411765
,Parula pitiayumi,3.529411765,25.88235294,Flock,NA,Tamesis,32,11,2,2,3,51,0.85,3,,3.529411765
,Parula pitiayumi,3.402061856,39.27835052,Flock,NA,Tamesis,37,32,55,2,11,194,3.233333333,11,,3.402061856
,Parula pitiayumi,3.396226415,29.43396226,Flock,NA,Tamesis,37,32,55,2,3,53,0.883333333,3,,3.396226415
,Parula pitiayumi,3.333333333,36.66666667,Flock,NA,Tamesis,32,13,22,,5,90,1.5,5,,3.333333333
,Parula pitiayumi,3.333333333,35.5,Solitary,NA,Jerico,39,1,1,2,3,54,0.9,3,,3.333333333
,Parula pitiayumi,3.306185567,36,Solitary,NA,Jerico,3,1,1,,5,91,1.516666667,5,,3.306185567
,Parula pitiayumi,3.076923077,35.38461538,Flock,NA,Tamesis,37,33,53,1,1,39,0.65,1,,3.076923077
,Parula pitiayumi,3,30,Flock,NA,Fredonia,27,13,18,2,2,40,0.666666667,2,,3
,Parula pitiayumi,2.884615385,25.38461538,Flock,NA,Jerico,3,14,18,1,5,104,1.733333333,5,,2.884615385
,Parula pitiayumi,2.727272727,40.90909091,Flock,NA,Jerico,4,30,36,1,1,22,0.366666667,1,,2.727272727
,Parula pitiayumi,2.686567164,25.52238806,Flock,NA,Tamesis,37,33,53,1,5,134,2.233333333,5,,2.686567164
,Parula pitiayumi,2.666666667,36,Flock,NA,Tamesis,39,13,22,2,2,45,0.75,2,,2.666666667
,Parula pitiayumi,2.599277978,28.59205776,Flock,NA,Tamesis,87,22,31,1,10,277,4.616666667,10,,2.599277978
,Parula pitiayumi,2.553191489,31.06382979,Flock,NA,Jerico,8,11,13,2,6,141,2.35,6,,2.553191489
,Parula pitiayumi,2.5,25.625,Flock,NA,Jerico,1,13,18,2,4,96,1.6,4,,2.5
,Parula pitiayumi,2.040816327,29.79591837,Flock,NA,Tamesis,33,15,25,2,5,147,2.45,5,,2.040816327
,Parula pitiayumi,1.935483871,30.96774194,Flock,NA,Fredonia,24,14,18,1,1,31,0.516666667,1,,1.935483871
,Parula pitiayumi,1.875,15,Flock,NA,Fredonia,8,14,21,1,1,32,0.533333333,1,,1.875
,Parula pitiayumi,1.714285714,15.42857143,Solitary,NA,Jerico,7,1,1,1,2,70,1.166666667,2,,1.714285714
,Parula pitiayumi,1.451612903,23.22580645,Flock,NA,Tamesis,33,15,25,2,3,124,2.066666667,3,,1.451612903
,Parula pitiayumi,1.448979592,10,Solitary,NA,Fredonia,8,1,1,,2,83,1.383333333,2,,1.448979592
,Parula pitiayumi,1.348979592,22,Solitary,NA,Tamesis,55,1,1,,1,45,0.75,1,,1.348979592
,Parula pitiayumi,1.224489796,20.20408163,Solitary,NA,Fredonia,9,1,1,2,2,98,1.633333333,2,,1.224489796
,Parula pitiayumi,1.1,15.5,Solitary,NA,Tamesis,8,1,1,,1,54,0.9,1,,1.1
,Parula pitiayumi,1,23,Flock,NA,Tamesis,54,26,37,2,1,60,1,1,,1
,Parula pitiayumi,1,34.28571429,Solitary,NA,Fredonia,9,1,1,,1,60,1,1,,1
,Parula pitiayumi,1,23,Solitary,NA,Fredonia,28,1,1,,1,60,1,1,,1
,Parula pitiayumi,1,23,Solitary,NA,Jerico,33,1,1,,2,120,2,2,,1
,Parula pitiayumi,0.902255639,14.73684211,Solitary,NA,Jerico,85,1,1,1,6,399,6.65,6,,0.902255639
,Parula pitiayumi,0.9,20,Solitary,NA,Fredonia,9,1,1,,2,134,2.233333333,2,,0.9
,Parula pitiayumi,0.818181818,11.18181818,Solitary,NA,Jerico,85,1,1,1,6,440,7.333333333,6,,0.818181818
,Parula pitiayumi,0.7,20.20408163,Solitary,NA,Fredonia,33,1,1,,1,86,1.433333333,1,,0.7
,Parula pitiayumi,0.64,11.18181818,Solitary,NA,Jerico,85,1,1,,1,94,1.566666667,1,,0.64
,Parula pitiayumi,0.6,20,Solitary,NA,Tamesis,85,1,1,,1,100,1.666666667,1,,0.6
,Parula pitiayumi,0.5,35,Solitary,NA,Jerico,3,1,1,,1,120,2,1,,0.5
,Parula pitiayumi,0.5,14.73684211,Solitary,NA,Jerico,9,1,1,,1,120,2,1,,0.5
,Parula pitiayumi,0.5,18.5,Solitary,NA,Fredonia,54,1,1,,1,120,2,1,,0.5
,Parula pitiayumi,0.394736842,10.26315789,Solitary,NA,Tamesis,5,1,1,1,1,152,2.533333333,1,,0.394736842
,Parula pitiayumi,0,20.52631579,Flock,NA,Jerico,3,6,1,,0,38,0.633333333,0,,0
,Parula pitiayumi,0,28.42105263,Flock,NA,Fredonia,56,25,1,,0,19,0.316666667,0,,0
,Parula pitiayumi,0,34.28571429,Solitary,NA,Fredonia,27,1,1,1,0,42,0.7,0,,0
,Parula pitiayumi,0,24,Solitary,NA,Jerico,84,1,1,1,0,87,1.45,0,,0
,Parula pitiayumi,0,36,Solitary,NA,Tamesis,3,1,1,1,0,67,1.116666667,0,,0
,Parula pitiayumi,0,29,Solitary,NA,Tamesis,11,1,1,1,0,56,0.933333333,0,,0
,Parula pitiayumi,0,10.26315789,Solitary,NA,Tamesis,33,1,1,,0,41,0.683333333,0,,0
,Parula pitiayumi,0,21.72413793,Solitary,NA,Jerico,80,1,1,,0,58,0.966666667,0,,0
,Parula pitiayumi,0,21.72413793,Solitary,NA,Jerico,85,1,1,,0,92,1.533333333,0,,0
,Sethophaga fusca,18.82,21.18,Flock,Male,Tamesis,30,14,23,2,16,51,0.85,16,,18.82
,Sethophaga fusca,15,15,Flock,Female,Tamesis,31,11,18,6,5,20,0.333333333,5,,15
,Sethophaga fusca,14.55,23.64,Flock,Female,Tamesis,31,11,18,6,8,33,0.55,8,,14.55
,Sethophaga fusca,14.29,17.14,Flock,Female,Tamesis,31,26,37,3,5,21,0.35,5,,14.29
,Sethophaga fusca,13,15,Flock,Male,Fredonia,11,4,4,1,11,60,1,11,,13
,Sethophaga fusca,12.86,10.71,Flock,Female,Jerico,7,21,31,3,12,56,0.933333333,12,,12.86
,Sethophaga fusca,12.26,16.77,Flock,Male,Fredonia,25,10,15,1,19,93,1.55,19,,12.26
,Sethophaga fusca,10.91,10.91,Flock,Male,Fredonia,8,14,21,3,4,22,0.366666667,4,,10.91
,Sethophaga fusca,8.87,16.9,Flock,Female,Fredonia,12,4,5,2,19,142,2.366666667,19,,8.87
